Source,Target,Label
badger,animal,0.1
badger,leg,0.1
badger,foot,0.1
badger,claw,0.1
badger,jaw,0.1
badger,night,0.1
badger,type,0.1
badger,face,0.1
badger,head,0.1
badger,hair,0.1
badger,body,0.1
animal,rhinocero,0.1
animal,africa,0.3
animal,asia,0.35
animal,horn,0.25
animal,nose,0.15
animal,hippopotamus,0.1
animal,leg,0.9
animal,skin,0.25
animal,water,0.25
animal,leech,0.1
animal,type,0.3
animal,worm,0.15
animal,place,0.15
animal,fasten,0.1
animal,body,0.45
animal,human,0.2
animal,blood,0.25
animal,krill,0.1
animal,shell,0.2
animal,sea,0.15
animal,number,0.1
animal,whale,0.15
animal,kestrel,0.1
animal,falcon,0.15
animal,bird,0.2
animal,hyena,0.1
animal,dog,0.3
animal,hunt,0.1
animal,group,0.15
animal,sound,0.1
animal,laugh,0.1
animal,porcupine,0.1
animal,covering,0.1
animal,quill,0.1
animal,hair,0.4
animal,needle,0.1
animal,back,0.35
animal,lobster,0.1
animal,claw,0.2
animal,flesh,0.2
animal,food,0.3
animal,frog,0.15
animal,land,0.15
animal,tail,0.7
animal,brown,0.1
animal,colour,0.1
animal,arm,0.15
animal,bone,0.1
animal,tortoise,0.1
animal,head,0.2
animal,protection,0.1
animal,plant,0.15
animal,winter,0.1
animal,jaguar,0.1
animal,cat,0.4
animal,family,0.45
animal,south,0.2
animal,america,0.3
animal,skunk,0.1
animal,smell,0.1
animal,defence,0.1
animal,anaconda,0.1
animal,snake,0.15
animal,toad,0.1
animal,eye,0.1
animal,swimming,0.1
animal,jumping,0.15
animal,camel,0.1
animal,neck,0.25
animal,desert,0.1
animal,hump,0.1
animal,area,0.1
animal,coyote,0.1
animal,north,0.15
animal,chipmunk,0.15
animal,fur,0.6
animal,stripe,0.15
animal,fish,0.1
animal,scale,0.1
animal,breathe,0.1
animal,mouth,0.15
animal,deer,0.1
animal,grass,0.15
animal,leave,0.15
animal,male,0.15
animal,antler,0.1
animal,branch,0.1
animal,female,0.1
animal,hind,0.1
animal,doe,0.1
animal,stag,0.1
animal,buck,0.1
animal,wolf,0.1
animal,giraffe,0.1
animal,raccoon,0.1
animal,mark,0.1
animal,face,0.15
animal,ring,0.15
animal,salamander,0.1
animal,lizard,0.1
animal,donkey,0.1
animal,horse,0.2
animal,ear,0.3
animal,zebra,0.1
animal,line,0.15
animal,reptile,0.1
animal,egg,0.1
animal,heat,0.1
animal,sun,0.1
animal,squirrel,0.1
animal,climb,0.1
animal,tree,0.2
animal,nut,0.1
animal,seed,0.1
animal,cheetah,0.1
animal,spot,0.15
animal,hamster,0.1
animal,space,0.1
animal,side,0.1
animal,pet,0.25
animal,monkey,0.15
animal,country,0.1
animal,primate,0.1
animal,ape,0.1
animal,bull,0.1
animal,cow,0.2
animal,elephant,0.1
animal,caterpillar,0.1
animal,butterfly,0.1
animal,moth,0.1
animal,cayman,0.1
animal,alligator,0.1
animal,insect,0.2
animal,part,0.15
animal,pair,0.1
animal,wing,0.2
animal,coati,0.1
animal,chinchilla,0.1
animal,pig,0.1
animal,pink,0.1
animal,farm,0.25
animal,meat,0.35
animal,milk,0.2
animal,sheep,0.15
animal,wool,0.15
animal,goat,0.15
animal,beard,0.1
animal,mountain,0.15
animal,hare,0.1
animal,rabbit,0.2
animal,mosquito,0.1
animal,people,0.2
animal,lynx,0.1
animal,jackal,0.1
animal,other,0.1
animal,thing,0.15
animal,vehicle,0.1
animal,gopher,0.1
animal,hole,0.1
animal,ground,0.1
animal,ferret,0.1
animal,flea,0.1
animal,tooth,0.15
animal,tiger,0.1
animal,orange,0.1
animal,lion,0.1
animal,southern,0.1
animal,mouse,0.15
animal,llama,0.15
animal,load,0.1
animal,chamois,0.1
animal,europe,0.15
animal,centipede,0.1
animal,buffalo,0.15
animal,cattle,0.1
animal,bobcat,0.1
animal,boa,0.1
animal,central,0.1
animal,bison,0.1
animal,shoulder,0.1
animal,american,0.1
animal,beaver,0.1
animal,dam,0.1
animal,wall,0.1
animal,stick,0.1
animal,earth,0.1
animal,river,0.1
animal,bat,0.1
animal,night,0.15
animal,armadillo,0.1
animal,strip,0.1
animal,ball,0.1
animal,alpaca,0.1
animal,badger,0.1
animal,foot,0.1
animal,jaw,0.1
leg,nappe,0.1
leg,ability,0.1
leg,liquid,0.1
leg,back,0.25
leg,spoon,0.1
leg,act,0.1
leg,food,0.3
leg,lamb,0.1
leg,glaze,0.1
leg,hippopotamus,0.1
leg,animal,0.9
leg,skin,0.2
leg,water,0.25
leg,africa,0.1
leg,ibis,0.1
leg,bird,0.2
leg,beak,0.15
leg,kangaroo,0.1
leg,mammal,0.1
leg,tail,0.35
leg,lobster,0.1
leg,sea,0.15
leg,body,0.35
leg,shell,0.2
leg,claw,0.2
leg,flesh,0.15
leg,frog,0.15
leg,land,0.1
leg,place,0.1
leg,brown,0.1
leg,colour,0.1
leg,worm,0.1
leg,arm,0.1
leg,bone,0.1
leg,flamingo,0.1
leg,feather,0.15
leg,neck,0.2
leg,tortoise,0.1
leg,head,0.2
leg,protection,0.1
leg,plant,0.15
leg,winter,0.1
leg,poodle,0.1
leg,dog,0.15
leg,hair,0.15
leg,toad,0.1
leg,eye,0.1
leg,swimming,0.1
leg,jumping,0.1
leg,antelope,0.1
leg,deer,0.15
leg,horn,0.15
leg,grass,0.1
leg,leave,0.15
leg,male,0.1
leg,antler,0.1
leg,branch,0.1
leg,female,0.1
leg,hind,0.1
leg,doe,0.1
leg,stag,0.1
leg,buck,0.1
leg,giraffe,0.1
leg,crab,0.1
leg,creature,0.15
leg,pair,0.15
leg,spider,0.1
leg,insect,0.15
leg,web,0.1
leg,net,0.1
leg,thread,0.1
leg,caterpillar,0.1
leg,butterfly,0.1
leg,moth,0.1
leg,type,0.15
leg,part,0.1
leg,wing,0.1
leg,pig,0.1
leg,pink,0.1
leg,farm,0.1
leg,meat,0.15
leg,lizard,0.1
leg,reptile,0.1
leg,heron,0.1
leg,horse,0.1
leg,people,0.15
leg,thing,0.15
leg,vehicle,0.1
leg,rabbit,0.1
leg,ear,0.1
leg,tooth,0.1
leg,cat,0.1
leg,fur,0.1
leg,pet,0.15
leg,mouse,0.1
leg,centipede,0.1
leg,badger,0.1
leg,foot,0.1
leg,jaw,0.1
leg,night,0.1
leg,face,0.1
foot,duck,0.1
foot,bird,0.1
foot,water,0.1
foot,skin,0.1
foot,toe,0.1
foot,neck,0.1
foot,beak,0.1
foot,gecko,0.1
foot,lizard,0.1
foot,country,0.1
foot,badger,0.1
foot,animal,0.1
foot,leg,0.1
foot,claw,0.1
foot,jaw,0.1
foot,night,0.1
foot,type,0.1
foot,face,0.1
foot,head,0.1
foot,hair,0.1
foot,body,0.1
claw,lobster,0.1
claw,animal,0.2
claw,sea,0.1
claw,body,0.15
claw,shell,0.1
claw,leg,0.2
claw,flesh,0.1
claw,food,0.1
claw,cat,0.1
claw,fur,0.1
claw,tail,0.1
claw,pet,0.1
claw,mouse,0.1
claw,badger,0.1
claw,foot,0.1
claw,jaw,0.1
claw,night,0.1
claw,type,0.1
claw,face,0.1
claw,head,0.1
claw,hair,0.1
jaw,badger,0.1
jaw,animal,0.1
jaw,leg,0.1
jaw,foot,0.1
jaw,claw,0.1
jaw,night,0.1
jaw,type,0.1
jaw,face,0.1
jaw,head,0.1
jaw,hair,0.1
jaw,body,0.1
night,firefly,0.1
night,insect,0.1
night,tail,0.1
night,bat,0.1
night,animal,0.15
night,mouse,0.1
night,wing,0.1
night,badger,0.1
night,leg,0.1
night,foot,0.1
night,claw,0.1
night,jaw,0.1
night,type,0.1
night,face,0.1
night,head,0.1
night,hair,0.1
night,body,0.1
type,velouté,0.1
type,sauce,0.1
type,stock,0.15
type,chicken,0.15
type,fish,0.25
type,flour,0.1
type,brown,0.1
type,consommé,0.1
type,soup,0.1
type,process,0.1
type,egg,0.2
type,white,0.1
type,leech,0.1
type,worm,0.1
type,place,0.1
type,fasten,0.1
type,body,0.2
type,human,0.1
type,animal,0.3
type,blood,0.1
type,krill,0.1
type,shell,0.1
type,sea,0.2
type,number,0.1
type,whale,0.1
type,kestrel,0.1
type,falcon,0.1
type,bird,0.15
type,ibex,0.1
type,mountain,0.15
type,goat,0.1
type,bonito,0.1
type,tuna,0.1
type,moose,0.1
type,deer,0.2
type,horn,0.15
type,nose,0.1
type,forest,0.1
type,north,0.2
type,america,0.2
type,northern,0.1
type,europe,0.2
type,asia,0.3
type,cockapoo,0.1
type,dog,0.15
type,cross,0.1
type,mixture,0.1
type,cocker,0.1
type,spaniel,0.1
type,poodle,0.1
type,farm,0.1
type,meat,0.1
type,reindeer,0.1
type,part,0.15
type,insect,0.15
type,leg,0.15
type,pair,0.1
type,wing,0.15
type,chinook,0.1
type,salmon,0.1
type,river,0.1
type,butterfly,0.1
type,marmot,0.1
type,squirrel,0.1
type,area,0.1
type,northwest,0.1
type,pakistan,0.1
type,india,0.1
type,muntjac,0.1
type,country,0.1
type,eel,0.1
type,snake,0.1
type,baboon,0.1
type,monkey,0.1
type,africa,0.1
type,face,0.15
type,tooth,0.1
type,badger,0.1
type,foot,0.1
type,claw,0.1
type,jaw,0.1
type,night,0.1
type,head,0.1
type,hair,0.1
face,fox,0.1
face,mammal,0.15
face,dog,0.15
face,family,0.1
face,ear,0.1
face,tail,0.2
face,fur,0.15
face,raccoon,0.1
face,animal,0.15
face,mark,0.1
face,ring,0.1
face,mouse,0.1
face,macaque,0.1
face,monkey,0.15
face,africa,0.15
face,asia,0.15
face,space,0.1
face,cheek,0.1
face,food,0.1
face,baboon,0.1
face,type,0.15
face,tooth,0.1
face,badger,0.1
face,leg,0.1
face,foot,0.1
face,claw,0.1
face,jaw,0.1
face,night,0.1
face,head,0.1
face,hair,0.1
face,body,0.1
head,kipper,0.1
head,herring,0.1
head,butterfly,0.1
head,fashion,0.1
head,tail,0.2
head,swordfish,0.1
head,fish,0.15
head,food,0.1
head,part,0.1
head,beak,0.15
head,front,0.1
head,tortoise,0.1
head,animal,0.2
head,shell,0.1
head,leg,0.2
head,protection,0.1
head,plant,0.1
head,winter,0.1
head,poodle,0.1
head,dog,0.1
head,hair,0.25
head,catfish,0.1
head,mouth,0.1
head,river,0.1
head,lake,0.1
head,whale,0.1
head,sea,0.1
head,mammal,0.1
head,air,0.1
head,hole,0.1
head,top,0.1
head,cobra,0.1
head,snake,0.1
head,africa,0.15
head,asia,0.15
head,skin,0.1
head,back,0.1
head,hoopoe,0.1
head,orange,0.1
head,bird,0.1
head,europe,0.15
head,curve,0.1
head,crest,0.1
head,feather,0.1
head,wing,0.1
head,bison,0.1
head,cow,0.1
head,shoulder,0.1
head,north,0.1
head,america,0.1
head,american,0.1
head,buffalo,0.1
head,badger,0.1
head,foot,0.1
head,claw,0.1
head,jaw,0.1
head,night,0.1
head,type,0.1
head,face,0.1
head,body,0.1
hair,kiwi,0.1
hair,new,0.1
hair,zealand,0.1
hair,bird,0.1
hair,beak,0.1
hair,feather,0.1
hair,symbol,0.1
hair,porcupine,0.1
hair,animal,0.4
hair,covering,0.1
hair,quill,0.1
hair,needle,0.1
hair,back,0.1
hair,poodle,0.1
hair,dog,0.2
hair,head,0.25
hair,tail,0.25
hair,leg,0.15
hair,catfish,0.1
hair,fish,0.1
hair,mouth,0.15
hair,river,0.1
hair,lake,0.1
hair,walrus,0.1
hair,sea,0.1
hair,beach,0.1
hair,arctic,0.1
hair,seal,0.1
hair,tusk,0.1
hair,collie,0.1
hair,breed,0.1
hair,sheep,0.1
hair,mastiff,0.1
hair,marmoset,0.1
hair,monkey,0.1
hair,forest,0.1
hair,south,0.1
hair,central,0.1
hair,america,0.15
hair,eye,0.1
hair,fur,0.15
hair,nail,0.1
hair,lynx,0.1
hair,cat,0.15
hair,family,0.15
hair,spot,0.1
hair,ear,0.15
hair,llama,0.15
hair,neck,0.15
hair,meat,0.1
hair,milk,0.1
hair,load,0.1
hair,bobcat,0.1
hair,bison,0.1
hair,cow,0.1
hair,shoulder,0.1
hair,north,0.1
hair,europe,0.1
hair,american,0.1
hair,buffalo,0.1
hair,alpaca,0.1
hair,badger,0.1
hair,foot,0.1
hair,claw,0.1
hair,jaw,0.1
hair,night,0.1
hair,type,0.1
hair,face,0.1
hair,body,0.1
body,leech,0.1
body,type,0.2
body,worm,0.15
body,place,0.1
body,fasten,0.1
body,human,0.1
body,animal,0.45
body,blood,0.1
body,lobster,0.1
body,sea,0.25
body,shell,0.15
body,claw,0.15
body,leg,0.35
body,flesh,0.15
body,food,0.15
body,arm,0.15
body,bone,0.1
body,octopus,0.1
body,creature,0.2
body,oval,0.15
body,tentacle,0.1
body,part,0.2
body,jellyfish,0.1
body,zebra,0.1
body,horse,0.1
body,line,0.1
body,crab,0.1
body,pair,0.15
body,insect,0.15
body,wing,0.1
body,lizard,0.1
body,reptile,0.1
body,tail,0.1
body,skin,0.1
body,ferret,0.1
body,rabbit,0.1
body,earwig,0.1
body,pincer,0.1
body,end,0.1
body,armadillo,0.1
body,strip,0.1
body,ball,0.1
body,badger,0.1
body,foot,0.1
body,jaw,0.1
body,night,0.1
body,face,0.1
body,head,0.1
body,hair,0.1
ant,insect,0.1
ant,ground,0.1
ant,group,0.1
insect,cricket,0.1
insect,noise,0.1
insect,wing,0.2
insect,spider,0.1
insect,creature,0.1
insect,leg,0.15
insect,web,0.1
insect,net,0.1
insect,thread,0.1
insect,type,0.15
insect,animal,0.2
insect,body,0.15
insect,part,0.15
insect,pair,0.1
insect,butterfly,0.1
insect,beetle,0.1
insect,shell,0.1
insect,like,0.1
insect,back,0.1
insect,cicada,0.1
insect,country,0.1
insect,sound,0.1
insect,mosquito,0.1
insect,people,0.15
insect,blood,0.15
insect,horsefly,0.1
insect,bite,0.1
insect,horse,0.1
insect,cattle,0.1
insect,flea,0.1
insect,jumping,0.1
insect,human,0.1
insect,firefly,0.1
insect,night,0.1
insect,tail,0.1
insect,earwig,0.1
insect,pincer,0.1
insect,end,0.1
insect,cockroach,0.1
insect,home,0.1
insect,bee,0.1
insect,honey,0.1
insect,ant,0.1
insect,ground,0.1
insect,group,0.1
ground,pâté,0.1
ground,mixture,0.1
ground,meat,0.1
ground,fat,0.1
ground,paste,0.1
ground,mignonette,0.1
ground,peppercorn,0.1
ground,poivre,0.1
ground,dish,0.1
ground,sauce,0.1
ground,vinegar,0.1
ground,shallot,0.1
ground,oyster,0.1
ground,gopher,0.1
ground,animal,0.1
ground,hole,0.1
ground,ant,0.1
ground,insect,0.1
ground,group,0.1
group,hyena,0.1
group,animal,0.15
group,africa,0.1
group,asia,0.1
group,dog,0.1
group,hunt,0.1
group,sound,0.1
group,laugh,0.1
group,pigeon,0.1
group,bird,0.1
group,town,0.1
group,building,0.1
group,food,0.15
group,monkey,0.1
group,country,0.1
group,tail,0.1
group,tree,0.1
group,primate,0.1
group,human,0.1
group,herring,0.1
group,silver,0.1
group,fish,0.1
group,sea,0.1
group,flesh,0.1
group,ant,0.1
group,insect,0.1
group,ground,0.1
alpaca,animal,0.1
alpaca,neck,0.1
alpaca,hair,0.1
alpaca,llama,0.1
neck,swan,0.1
neck,bird,0.25
neck,river,0.1
neck,lake,0.1
neck,flamingo,0.1
neck,feather,0.15
neck,leg,0.2
neck,beak,0.15
neck,camel,0.1
neck,animal,0.25
neck,desert,0.1
neck,hump,0.1
neck,area,0.1
neck,flesh,0.1
neck,back,0.1
neck,giraffe,0.1
neck,duck,0.1
neck,water,0.15
neck,foot,0.1
neck,skin,0.1
neck,toe,0.1
neck,heron,0.1
neck,llama,0.15
neck,hair,0.15
neck,meat,0.1
neck,milk,0.1
neck,fur,0.1
neck,load,0.1
neck,alpaca,0.1
llama,animal,0.15
llama,neck,0.15
llama,hair,0.15
llama,meat,0.1
llama,milk,0.1
llama,fur,0.1
llama,load,0.1
llama,alpaca,0.1
armadillo,animal,0.1
armadillo,body,0.1
armadillo,strip,0.1
armadillo,ball,0.1
strip,larding,0.1
strip,process,0.1
strip,fat,0.1
strip,piece,0.1
strip,meat,0.1
strip,armadillo,0.1
strip,animal,0.1
strip,body,0.1
strip,ball,0.1
ball,armadillo,0.1
ball,animal,0.1
ball,body,0.1
ball,strip,0.1
barnacle,sea,0.1
barnacle,creature,0.1
barnacle,shell,0.1
barnacle,number,0.1
barnacle,rock,0.1
barnacle,bottom,0.1
barnacle,boat,0.1
sea,krill,0.1
sea,animal,0.15
sea,shell,0.25
sea,number,0.15
sea,type,0.2
sea,whale,0.15
sea,trout,0.1
sea,fish,0.45
sea,river,0.15
sea,lake,0.1
sea,return,0.1
sea,egg,0.15
sea,food,0.3
sea,bonito,0.1
sea,tuna,0.1
sea,mackerel,0.1
sea,taste,0.1
sea,lobster,0.1
sea,body,0.25
sea,claw,0.1
sea,leg,0.15
sea,flesh,0.2
sea,octopus,0.1
sea,creature,0.25
sea,oval,0.15
sea,tentacle,0.1
sea,part,0.1
sea,arm,0.1
sea,jellyfish,0.1
sea,walrus,0.1
sea,beach,0.1
sea,arctic,0.1
sea,seal,0.15
sea,tusk,0.1
sea,hair,0.1
sea,mouth,0.15
sea,dolphin,0.1
sea,mammal,0.2
sea,air,0.1
sea,hole,0.1
sea,top,0.1
sea,head,0.1
sea,crab,0.1
sea,pair,0.1
sea,land,0.1
sea,ice,0.1
sea,cod,0.1
sea,meat,0.1
sea,chinook,0.1
sea,salmon,0.1
sea,herring,0.1
sea,silver,0.1
sea,group,0.1
sea,halibut,0.1
sea,barnacle,0.1
sea,rock,0.1
sea,bottom,0.1
sea,boat,0.1
creature,octopus,0.1
creature,sea,0.25
creature,oval,0.15
creature,body,0.2
creature,tentacle,0.1
creature,part,0.1
creature,arm,0.1
creature,jellyfish,0.1
creature,crab,0.1
creature,pair,0.1
creature,leg,0.15
creature,shell,0.15
creature,flesh,0.1
creature,food,0.15
creature,spider,0.1
creature,insect,0.1
creature,web,0.1
creature,net,0.1
creature,thread,0.1
creature,bird,0.1
creature,feather,0.1
creature,wing,0.1
creature,maggot,0.1
creature,worm,0.1
creature,meat,0.1
creature,fly,0.1
creature,barnacle,0.1
creature,number,0.1
creature,rock,0.1
creature,bottom,0.1
creature,boat,0.1
shell,krill,0.1
shell,animal,0.2
shell,sea,0.25
shell,number,0.15
shell,type,0.1
shell,whale,0.1
shell,lobster,0.1
shell,body,0.15
shell,claw,0.1
shell,leg,0.2
shell,flesh,0.15
shell,food,0.15
shell,tortoise,0.1
shell,head,0.1
shell,protection,0.1
shell,plant,0.1
shell,winter,0.1
shell,crab,0.1
shell,creature,0.15
shell,pair,0.1
shell,beetle,0.1
shell,insect,0.1
shell,like,0.1
shell,back,0.1
shell,barnacle,0.1
shell,rock,0.1
shell,bottom,0.1
shell,boat,0.1
number,hertz,0.1
number,unit,0.1
number,frequency,0.1
number,cycle,0.1
number,second,0.1
number,function,0.1
number,krill,0.1
number,animal,0.1
number,shell,0.15
number,sea,0.15
number,type,0.1
number,whale,0.1
number,barnacle,0.1
number,creature,0.1
number,rock,0.1
number,bottom,0.1
number,boat,0.1
rock,barnacle,0.1
rock,sea,0.1
rock,creature,0.1
rock,shell,0.1
rock,number,0.1
rock,bottom,0.1
rock,boat,0.1
bottom,barnacle,0.1
bottom,sea,0.1
bottom,creature,0.1
bottom,shell,0.1
bottom,number,0.1
bottom,rock,0.1
bottom,boat,0.1
boat,barnacle,0.1
boat,sea,0.1
boat,creature,0.1
boat,shell,0.1
boat,number,0.1
boat,rock,0.1
boat,bottom,0.1
bat,animal,0.1
bat,mouse,0.1
bat,wing,0.1
bat,night,0.1
mouse,rat,0.1
mouse,rodent,0.1
mouse,tail,0.2
mouse,mammal,0.1
mouse,fur,0.15
mouse,face,0.1
mouse,cat,0.1
mouse,animal,0.15
mouse,leg,0.1
mouse,claw,0.1
mouse,pet,0.1
mouse,bat,0.1
mouse,wing,0.1
mouse,night,0.1
wing,cricket,0.1
wing,insect,0.2
wing,noise,0.1
wing,penguin,0.1
wing,bird,0.25
wing,type,0.15
wing,animal,0.2
wing,leg,0.1
wing,body,0.1
wing,part,0.1
wing,pair,0.1
wing,butterfly,0.1
wing,creature,0.1
wing,feather,0.15
wing,hoopoe,0.1
wing,orange,0.1
wing,africa,0.1
wing,asia,0.1
wing,europe,0.1
wing,beak,0.1
wing,curve,0.1
wing,crest,0.1
wing,head,0.1
wing,tail,0.15
wing,falcon,0.1
wing,bat,0.1
wing,mouse,0.1
wing,night,0.1
beaver,animal,0.1
beaver,fur,0.1
beaver,tooth,0.1
beaver,tail,0.1
beaver,dam,0.1
beaver,wall,0.1
beaver,stick,0.1
beaver,earth,0.1
beaver,river,0.1
fur,koala,0.1
fur,mammal,0.3
fur,eucalyptus,0.1
fur,tree,0.2
fur,leave,0.1
fur,possum,0.1
fur,marsupial,0.1
fur,australia,0.1
fur,new,0.1
fur,zealand,0.1
fur,nose,0.1
fur,tail,0.45
fur,chimpanzee,0.1
fur,ape,0.1
fur,fox,0.1
fur,dog,0.2
fur,family,0.25
fur,face,0.15
fur,ear,0.1
fur,chipmunk,0.15
fur,animal,0.6
fur,stripe,0.15
fur,back,0.15
fur,bear,0.15
fur,arctic,0.1
fur,squirrel,0.1
fur,climb,0.1
fur,nut,0.1
fur,seed,0.1
fur,mouse,0.15
fur,cheetah,0.1
fur,cat,0.3
fur,spot,0.2
fur,leopard,0.1
fur,africa,0.15
fur,southern,0.15
fur,asia,0.25
fur,hamster,0.1
fur,space,0.1
fur,side,0.1
fur,mouth,0.1
fur,food,0.1
fur,pet,0.2
fur,dalmatian,0.1
fur,chinchilla,0.1
fur,coat,0.1
fur,part,0.15
fur,europe,0.1
fur,north,0.15
fur,america,0.2
fur,husky,0.1
fur,sledge,0.1
fur,snow,0.1
fur,mole,0.1
fur,passage,0.1
fur,marmoset,0.1
fur,monkey,0.1
fur,forest,0.15
fur,south,0.1
fur,central,0.1
fur,eye,0.1
fur,hair,0.15
fur,nail,0.1
fur,elk,0.1
fur,deer,0.1
fur,antler,0.1
fur,horn,0.1
fur,branch,0.1
fur,tiger,0.1
fur,orange,0.1
